country,sex,age_group,year,population_000
dza,mf,youth,1994,6034.791015625
dza,mf,adult,1994,10811.509765625
dza,m,total,1994,8486.2890625
dza,m,youth,1994,3065.739990234375
dza,m,adult,1994,5420.548828125
dza,f,total,1994,8360.01171875
dza,f,youth,1994,2969.051025390625
dza,f,adult,1994,5390.9609375
dza,mf,total,1995,17430.353515625
dza,mf,youth,1995,6224.8798828125
dza,mf,adult,1995,11205.4736328125
dza,m,total,1995,8783.43359375
dza,m,youth,1995,3161.4951171875
dza,m,adult,1995,5621.93896484375
dza,f,total,1995,8646.919921875
dza,f,youth,1995,3063.385009765625
dza,f,adult,1995,5583.53515625
dza,mf,total,1996,18014.39453125
dza,mf,youth,1996,6397.09814453125
dza,mf,adult,1996,11617.296875
dza,m,total,1996,9082.396484375
dza,m,youth,1996,3250.134033203125
dza,m,adult,1996,5832.26220703125
dza,f,total,1996,8931.998046875
dza,f,youth,1996,3146.964111328125
dza,f,adult,1996,5785.03515625
dza,mf,total,1997,18620.619140625
dza,mf,youth,1997,6576.22509765625
dza,mf,adult,1997,12044.39453125
dza,m,total,1997,9392.6328125
dza,m,youth,1997,3342.1201171875
dza,m,adult,1997,6050.51318359375
dza,f,total,1997,9227.986328125
dza,f,youth,1997,3234.10498046875
dza,f,adult,1997,5993.8818359375
dza,mf,total,1998,19243.3359375
dza,mf,youth,1998,6757.47216796875
dza,mf,adult,1998,12485.86328125
dza,m,total,1998,9710.7900390625
dza,m,youth,1998,3434.867919921875
dza,m,adult,1998,6275.921875
dza,f,total,1998,9532.5458984375
dza,f,youth,1998,3322.60400390625
dza,f,adult,1998,6209.94091796875
dza,mf,total,1999,19871.009765625
dza,mf,youth,1999,6931.994140625
dza,mf,adult,1999,12939.015625
dza,m,total,1999,10030.3564453125
dza,m,youth,1999,3523.68896484375
dza,m,adult,1999,6506.6669921875
dza,f,total,1999,9840.6533203125
dza,f,youth,1999,3408.304931640625
dza,f,adult,1999,6432.34912109375
dza,mf,total,2000,20496.27734375
dza,mf,youth,2000,7092.794921875
dza,mf,adult,2000,13403.482421875
dza,m,total,2000,10346.998046875
dza,m,youth,2000,3604.958984375
dza,m,adult,2000,6742.0390625
dza,f,total,2000,10149.279296875
dza,f,youth,2000,3487.8359375
dza,f,adult,2000,6661.44287109375
dza,mf,total,2001,21144.130859375
dza,mf,youth,2001,7247.9599609375
dza,mf,adult,2001,13896.169921875
dza,m,total,2001,10669.146484375
dza,m,youth,2001,3685.779052734375
dza,m,adult,2001,6983.3671875
dza,f,total,2001,10474.984375
dza,f,youth,2001,3562.180908203125
dza,f,adult,2001,6912.80322265625
dza,mf,total,2002,21770.828125
dza,mf,youth,2002,7379.9267578125
dza,mf,adult,2002,14390.9013671875
dza,m,total,2002,10979.283203125
dza,m,youth,2002,3754.7060546875
dza,m,adult,2002,7224.5771484375
dza,f,total,2002,10791.544921875
dza,f,youth,2002,3625.220947265625
dza,f,adult,2002,7166.32421875
dza,mf,total,2003,22384.576171875
dza,mf,youth,2003,7489.06494140625
dza,mf,adult,2003,14895.5107421875
dza,m,total,2003,11281.7529296875
dza,m,youth,2003,3811.805908203125
dza,m,adult,2003,7469.94677734375
dza,f,total,2003,11102.8232421875
dza,f,youth,2003,3677.259033203125
dza,f,adult,2003,7425.56396484375
dza,mf,total,2004,22993.373046875
dza,mf,youth,2004,7575.9169921875
dza,mf,adult,2004,15417.45703125
dza,m,total,2004,11580.8837890625
dza,m,youth,2004,3857.3349609375
dza,m,adult,2004,7723.548828125
dza,f,total,2004,11412.4892578125
dza,f,youth,2004,3718.58203125
dza,f,adult,2004,7693.908203125
dza,mf,total,2005,23595.900390625
dza,mf,youth,2005,7638.10595703125
dza,mf,adult,2005,15957.794921875
dza,m,total,2005,11876.3740234375
dza,m,youth,2005,3890.139892578125
dza,m,adult,2005,7986.23388671875
dza,f,total,2005,11719.5263671875
dza,f,youth,2005,3747.966064453125
dza,f,adult,2005,7971.56103515625
dza,mf,total,2006,24164.71875
dza,mf,youth,2006,7660.2431640625
dza,mf,adult,2006,16504.474609375
dza,m,total,2006,12155.322265625
dza,m,youth,2006,3898.1298828125
dza,m,adult,2006,8257.1923828125
dza,f,total,2006,12009.396484375
dza,f,youth,2006,3762.113037109375
dza,f,adult,2006,8247.283203125
dza,mf,total,2007,24709.201171875
dza,mf,youth,2007,7655.45703125
dza,mf,adult,2007,17053.744140625
dza,m,total,2007,12420.841796875
dza,m,youth,2007,3892.37109375
dza,m,adult,2007,8528.470703125
dza,f,total,2007,12288.359375
dza,f,youth,2007,3763.0859375
dza,f,adult,2007,8525.2734375
dza,mf,total,2008,25233.189453125
dza,mf,youth,2008,7622.57080078125
dza,mf,adult,2008,17610.6171875
dza,m,total,2008,12675.5986328125
